,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-20 00:00:00,4613447.0,4613447.0,4611420.5,4611869.5,0,,,4611869.5,4611869.5,0.0,,,,,,,,,,0,
2022-02-20 00:05:00,4613186.5,4613186.5,4611106.0,4611187.0,0,,,4611514.6,4611521.558823529,-6.958823529072106,,,,,,,,,,0,
2022-02-20 00:10:00,4610704.5,4610704.5,4609524.5,4609524.5,0,,,4610797.485074626,4610829.599948743,-32.1148741170764,,,,,,,,,,0,
2022-02-20 00:15:00,4609743.5,4609743.5,4608341.5,4608630.5,0,,,4610189.067667731,4610247.070963511,-58.00329578015953,,,,,,,,,,0,
2022-02-20 00:20:00,4609103.5,4609103.5,4605246.0,4605246.0,0,,,4609036.219367798,4609166.9016030235,-130.6822352251038,,,,,,,,,,0,
2022-02-20 00:25:00,4605077.5,4605077.5,4600741.5,4600741.5,0,,,4607363.18079095,4607621.473103805,-258.2923128558323,,,,,,,,,,0,
2022-02-20 00:30:00,4600559.0,4600559.0,4596712.0,4597259.5,52428800,,,4605551.349434639,4605961.468951124,-410.1195164844394,,,,,,,,,,0,
2022-02-20 00:35:00,4596324.5,4596465.5,4594078.5,4594078.5,122552320,,,4603685.098994245,4604264.400089019,-579.3010947741568,,,,,,,,,,0,
2022-02-20 00:40:00,4594112.5,4594112.5,4592403.0,4592403.0,34865152,,,4601994.808877992,4602730.481631752,-735.6727537596598,-245.68276739172222,,,,,,,,,0,
2022-02-20 00:45:00,4592813.5,4594980.5,4592813.5,4594980.5,2350907392,,,4601015.323368296,4601811.729176059,-796.4058077633381,-334.1723015876487,,,,,,,,,0,
2022-02-20 00:50:00,4595272.0,4595272.0,4594643.5,4594643.5,617873408,,,4600178.066287976,4601024.953720642,-846.8874326664954,-427.49770260291797,,,,,,,,,0,
