Open,Low,High,Adj Close,Volume
5087315.0,5087315.0,5087315.0,5087315.0,0.0
5086982.0,5086982.0,5086982.0,5086982.0,80216064.0
5085773.5,5085773.5,5085773.5,5085773.5,0.0
5084713.0,5084713.0,5084713.0,5084713.0,441974784.0
5083446.5,5083446.5,5083446.5,5083446.5,0.0
5083728.5,5083728.5,5083728.5,5083728.5,0.0
5084065.0,5084065.0,5084065.0,5084065.0,0.0
5084288.5,5084288.5,5084288.5,5084288.5,0.0
5084254.0,5084254.0,5084254.0,5084254.0,0.0
5084824.0,5084824.0,5084824.0,5084824.0,3670016.0
5086232.0,5086232.0,5086232.0,5086232.0,5983698944.0
5085946.5,5085946.5,5085946.5,5085946.5,0.0
5086520.0,5086520.0,5086520.0,5086520.0,61603840.0
5086346.5,5086346.5,5086346.5,5086346.5,42991616.0
5086778.5,5086778.5,5086778.5,5086778.5,0.0
5087118.5,5087118.5,5087118.5,5087118.5,0.0
5087016.5,5087016.5,5087016.5,5087016.5,0.0
5086950.0,5086950.0,5086950.0,5086950.0,845414400.0
5087340.0,5087340.0,5087340.0,5087340.0,109838336.0
5087595.0,5087595.0,5087595.0,5087595.0,0.0
5087877.0,5087877.0,5087877.0,5087877.0,124256256.0
5088336.5,5088336.5,5088336.5,5088336.5,164888576.0
5090643.5,5090643.5,5090643.5,5090643.5,1078460416.0
5091421.0,5091421.0,5091421.0,5091421.0,880803840.0
5090950.5,5090950.5,5090950.5,5090950.5,0.0
5091479.5,5091479.5,5091479.5,5091479.5,5693767680.0
5091484.0,5091484.0,5091484.0,5091484.0,0.0
5091560.0,5091560.0,5091560.0,5091560.0,0.0
5091528.5,5091528.5,5091528.5,5091528.5,0.0
5091208.0,5091208.0,5091208.0,5091208.0,116916224.0
5090997.0,5090997.0,5090997.0,5090997.0,0.0
5087865.0,5087865.0,5087865.0,5087865.0,0.0
5086581.0,5086581.0,5086581.0,5086581.0,0.0
5084795.0,5084795.0,5084795.0,5084795.0,0.0
5077337.0,5077337.0,5077337.0,5077337.0,1222901760.0
5075207.0,5075207.0,5075207.0,5075207.0,0.0
5075147.0,5075147.0,5075147.0,5075147.0,593494016.0
5071177.0,5071177.0,5071177.0,5071177.0,2092957696.0
5071871.5,5071871.5,5071871.5,5071871.5,0.0
5071587.5,5071587.5,5071587.5,5071587.5,668467200.0
5073117.0,5073117.0,5073117.0,5073117.0,1836318720.0
5072569.5,5072569.5,5072569.5,5072569.5,966787072.0
5071835.0,5071835.0,5071835.0,5071835.0,0.0
5069442.0,5069442.0,5069442.0,5069442.0,6016729088.0
5069357.5,5069357.5,5069357.5,5069357.5,0.0
5070827.0,5070827.0,5070827.0,5070827.0,0.0
5072036.0,5072036.0,5072036.0,5072036.0,186384384.0
5073075.0,5073075.0,5073075.0,5073075.0,0.0
5073608.0,5073608.0,5073608.0,5073608.0,522977280.0
5075521.5,5075521.5,5075521.5,5075521.5,0.0
5075007.0,5075007.0,5075007.0,5075007.0,1648885760.0
5075414.0,5075414.0,5075414.0,5075414.0,0.0
5077095.0,5077095.0,5077095.0,5077095.0,464257024.0
5077202.0,5077202.0,5077202.0,5077202.0,48234496.0
5078020.0,5078020.0,5078020.0,5078020.0,72351744.0
5080041.0,5080041.0,5080041.0,5080041.0,269484032.0
5079740.0,5079740.0,5079740.0,5079740.0,0.0
5080617.5,5080617.5,5080617.5,5080617.5,67895296.0
5080825.5,5080825.5,5080825.5,5080825.5,5804392448.0
5080874.0,5080874.0,5080874.0,5080874.0,0.0
5077443.0,5077443.0,5077443.0,5077443.0,0.0
5076822.5,5076822.5,5076822.5,5076822.5,79167488.0
5077183.5,5077183.5,5077183.5,5077183.5,0.0
5077699.0,5077699.0,5077699.0,5077699.0,775946240.0
5081960.5,5081960.5,5081960.5,5081960.5,1070858240.0
5081913.0,5081913.0,5081913.0,5081913.0,2208825344.0
5084511.5,5084511.5,5084511.5,5084511.5,4749787136.0
5084504.0,5084504.0,5084504.0,5084504.0,0.0
5083319.0,5083319.0,5083319.0,5083319.0,0.0
5081823.5,5081823.5,5081823.5,5081823.5,1815871488.0
5082165.5,5082165.5,5082165.5,5082165.5,1999372288.0
5082296.5,5082296.5,5082296.5,5082296.5,169345024.0
5082295.0,5082295.0,5082295.0,5082295.0,0.0
5082178.5,5082178.5,5082178.5,5082178.5,0.0
5082209.5,5082209.5,5082209.5,5082209.5,0.0
5081600.5,5081600.5,5081600.5,5081600.5,0.0
5081539.5,5081539.5,5081539.5,5081539.5,0.0
5081571.5,5081571.5,5081571.5,5081571.5,0.0
5081289.0,5081289.0,5081289.0,5081289.0,0.0
5081201.0,5081201.0,5081201.0,5081201.0,0.0
5080419.0,5080419.0,5080419.0,5080419.0,0.0
5079680.0,5079680.0,5079680.0,5079680.0,0.0
5079252.5,5079252.5,5079252.5,5079252.5,0.0
5079509.5,5079509.5,5079509.5,5079509.5,0.0
5078625.0,5078625.0,5078625.0,5078625.0,0.0
5078447.5,5078447.5,5078447.5,5078447.5,0.0
5077369.5,5077369.5,5077369.5,5077369.5,0.0
5076788.5,5076788.5,5076788.5,5076788.5,0.0
5076158.5,5076158.5,5076158.5,5076158.5,0.0
5076159.0,5076159.0,5076159.0,5076159.0,41156608.0
5075346.0,5075346.0,5075346.0,5075346.0,1137967104.0
5075441.0,5075441.0,5075441.0,5075441.0,42205184.0
5075746.0,5075746.0,5075746.0,5075746.0,8650752.0
5075671.0,5075671.0,5075671.0,5075671.0,0.0
5076294.5,5076294.5,5076294.5,5076294.5,5343805440.0
5076017.5,5076017.5,5076017.5,5076017.5,206307328.0
5075666.0,5075666.0,5075666.0,5075666.0,0.0
5075336.5,5075336.5,5075336.5,5075336.5,65798144.0
5076510.0,5076510.0,5076510.0,5076510.0,190840832.0
5077865.0,5077865.0,5077865.0,5077865.0,1758724096.0
5078103.0,5078103.0,5078103.0,5078103.0,946077696.0
5077732.0,5075984.5,5077732.0,5075984.5,0.0
5074357.5,5074357.5,5074357.5,5074357.5,0.0
5074050.0,5074050.0,5074050.0,5074050.0,0.0
5070323.5,5070323.5,5070323.5,5070323.5,0.0
5070423.0,5070423.0,5070423.0,5070423.0,0.0
5070302.5,5070302.5,5070302.5,5070302.5,0.0
5070121.5,5070121.5,5070121.5,5070121.5,4737990656.0
5071547.0,5071547.0,5071547.0,5071547.0,337903616.0
5071437.0,5071437.0,5071437.0,5071437.0,0.0
5066761.0,5066761.0,5066761.0,5066761.0,4293132288.0
5065718.0,5065718.0,5065718.0,5065718.0,1638400000.0
5059210.5,5059210.5,5059210.5,5059210.5,4715446272.0
5059174.0,5059174.0,5059174.0,5059174.0,0.0
5058550.5,5058550.5,5058550.5,5058550.5,156237824.0
5058247.5,5058247.5,5058247.5,5058247.5,0.0
5056799.0,5056799.0,5056799.0,5056799.0,0.0
5058623.0,5058623.0,5058623.0,5058623.0,428343296.0
5057960.5,5057960.5,5057960.5,5057960.5,1395130368.0
5059163.0,5059163.0,5059163.0,5059163.0,80216064.0
5059309.0,5059309.0,5059309.0,5059309.0,761266176.0
5060053.5,5060053.5,5060053.5,5060053.5,19136512.0
5058128.0,5058128.0,5058128.0,5058128.0,0.0
5056345.5,5056345.5,5056345.5,5056345.5,0.0
5049143.0,5049143.0,5049143.0,5049143.0,0.0
5043832.0,5043832.0,5043832.0,5043832.0,0.0
5043756.5,5043756.5,5043756.5,5043756.5,0.0
5036881.5,5036881.5,5036881.5,5036881.5,5972951040.0
5035085.0,5035085.0,5035085.0,5035085.0,0.0
