,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,Close,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-12 00:00:00,4894936.0,4894936.0,4894936.0,4894936.0,0.0,,,4894936.0,4894936.0,0.0,,,,,4894936.0,,,,,,0,
2022-02-12 00:01:00,4895439.5,4895439.5,4895439.5,4895439.5,24641536.0,,,4895197.82,4895192.68627451,5.133725490421057,,,,,4895439.5,,,,,,0,
2022-02-12 00:02:00,4894615.0,4894615.0,4894615.0,4894615.0,0.0,,,4894987.805970149,4894992.5243464885,-4.718376339413226,,,,,4894615.0,,,,,,0,
2022-02-12 00:03:00,4894376.5,4894376.5,4894376.5,4894376.5,0.0,,,4894816.171565495,4894829.343024218,-13.171458723023534,,,,,4894376.5,,,,,,0,
2022-02-12 00:04:00,4894656.5,4894656.5,4894656.5,4894656.5,0.0,,,4894778.932121248,4894792.011072663,-13.07895141467452,,,,,4894656.5,,,,,,0,
2022-02-12 00:05:00,4888862.5,4888862.5,4888862.5,4888862.5,0.0,,,4893585.592270044,4893704.391060006,-118.79878996219486,,,,,4888862.5,,,,,,0,
2022-02-12 00:06:00,4889563.5,4889563.5,4889563.5,4889563.5,0.0,,,4892864.335032843,4893041.013893655,-176.67886081151664,,,,,4889563.5,,,,,,0,
2022-02-12 00:07:00,4891022.5,4891022.5,4891022.5,4891022.5,0.0,,,4892564.729824847,4892752.739381558,-188.00955671165138,,,,,4891022.5,,,,,,0,
2022-02-12 00:08:00,4890818.5,4890818.5,4890818.5,4890818.5,0.0,,,4892303.108736861,4892502.6031863475,-199.494449486956,-78.75741310655657,,,,4890818.5,,,,,,0,
2022-02-12 00:09:00,4889365.5,4889365.5,4889365.5,4889365.5,0.0,,,4891892.897946181,4892130.702787976,-237.8048417950049,-105.18017330600156,,,,4889365.5,,,,,,0,
2022-02-12 00:10:00,4889962.0,4889962.0,4889962.0,4889962.0,0.0,,,4891639.178110684,4891892.668807509,-253.49069682508707,-133.9162202299469,,,,4889962.0,,,,,,0,
2022-02-12 00:11:00,4889040.0,4889040.0,4889040.0,4889040.0,0.0,4891888.166666667,,4891315.290679809,4891600.4014427075,-285.1107628988102,-165.07092984765768,,,,4889040.0,,,,,,0,
2022-02-12 00:12:00,4887832.5,4887832.5,4887832.5,4887832.5,0.0,4891296.208333333,,4890901.049480293,4891237.582503757,-336.53302346449345,-200.9999925967099,,,,4887832.5,,,,,,0,
2022-02-12 00:13:00,4887157.0,4887157.0,4887157.0,4887157.0,0.0,4890606.0,,4890473.690381666,4890866.135816159,-392.4454344930127,-243.1518240498586,,,,4887157.0,,,,,,0,
2022-02-12 00:14:00,4881238.0,4881238.0,4881238.0,4881238.0,0.0,4889491.25,,4889457.325478265,4890033.477037479,-576.1515592141077,-293.9687984111822,17.037250938492637,82.96274906150737,65.92549812301473,4881238.0,,,,,,0,0.17037250938492637
