,strategy,profit,sell_count,buy_count,symbol,start,end
33,bb3--ema,25477.350000000002,12,13,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
35,bb3--bb2,18650.4,13,13,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
32,bb3--sma,15237.84,14,14,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
39,bb3--rsi,14210.09,13,13,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
56,rsi--sma,12389.24,37,37,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
34,bb3--macd,12162.380000000001,15,15,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
58,rsi--macd,7295.26,41,41,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
24,bb2--sma,6830.58,34,34,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
18,macd--macd,4970.55,69,69,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
26,bb2--macd,3958.28,38,38,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
42,dmi--macd,3849.07,43,44,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
41,dmi--ema,3181.36,21,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
37,bb3--dmi,1033.72,16,16,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
40,dmi--sma,24.310000000000002,44,44,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
0,sma--sma,-363.56,54,54,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
25,bb2--ema,-415.07,20,21,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
59,rsi--bb2,-811.77,27,27,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
51,mom--bb2,-1934.69,34,34,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
9,ema--ema,-2356.86,21,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
16,macd--sma,-3050.82,47,47,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
27,bb2--bb2,-3054.7200000000003,26,26,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
43,dmi--bb2,-3397.25,33,33,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
57,rsi--ema,-3781.15,21,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
2,sma--macd,-3965.35,45,45,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
49,mom--ema,-5521.61,22,23,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
36,bb3--bb3,-5572.650000000001,5,6,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
38,bb3--mom,-6334.95,16,16,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
8,ema--sma,-6381.59,21,21,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
10,ema--macd,-7480.6,22,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
61,rsi--dmi,-7912.42,40,41,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
55,mom--rsi,-7955.9400000000005,50,50,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
21,macd--dmi,-8342.44,45,46,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
29,bb2--dmi,-9307.35,41,42,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
47,dmi--rsi,-9801.2,33,33,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
22,macd--mom,-10988.51,63,63,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
63,rsi--rsi,-11798.19,26,26,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
44,dmi--bb3,-12838.9,6,7,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
19,macd--bb2,-13682.12,34,34,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
1,sma--ema,-14181.300000000001,21,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
31,bb2--rsi,-14199.94,26,26,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
11,ema--bb2,-14404.78,18,18,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
54,mom--mom,-15081.89,129,130,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
12,ema--bb3,-15203.95,5,6,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
3,sma--bb2,-15267.970000000001,31,31,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
13,ema--dmi,-15830.800000000001,21,21,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
50,mom--macd,-16128.08,63,64,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
17,macd--ema,-16529.37,22,23,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
60,rsi--bb3,-16591.66,5,6,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
48,mom--sma,-16776.02,51,52,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
52,mom--bb3,-16841.0,6,7,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
28,bb2--bb3,-17826.010000000002,6,7,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
15,ema--rsi,-17844.850000000002,19,19,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
4,sma--bb3,-19294.84,6,7,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
6,sma--mom,-20515.71,53,53,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
20,macd--bb3,-21891.15,6,7,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
23,macd--rsi,-24380.5,33,33,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
5,sma--dmi,-24438.16,41,42,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
7,sma--rsi,-25485.23,31,31,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
14,ema--mom,-27369.22,22,22,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
46,dmi--mom,-28154.08,64,64,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
62,rsi--mom,-29123.65,45,45,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
53,mom--dmi,-29523.04,58,59,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
30,bb2--mom,-33700.71,40,40,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
45,dmi--dmi,-43863.24,70,71,BTC-JPY,2021-11-16 00:00:00,2022-02-23 09:04:14
